a b c ,) a primer for teaching the alphabet and first elements of reading.
a b c ,) The first three letters of the alphabet; used for the whole alphabet.
a b c ,) The simplest rudiments of any subject; as; the a b c of finance.
aband ,v. t.) To abandon.
aband ,v. t.) To banish; to expel.
abandon ,n.) a complete giving up to natural impulses; freedom from artificial constraint; careless freedom or ease.
abandon ,v. t.) Reflexively: To give ,one's self) up without attempt at self-control; to yield ,one's self) unrestrainedly; -- often in a bad sense.
abandon ,v. t.) To cast or drive out; to banish; to expel; to reject.
abandon ,v. t.) To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert; as a person to whom one owes allegiance or fidelity; to quit; to surrender.
abandon ,v. t.) To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy; which may remain after loss or damage by a peril insured against.
abandon ,v.) abandonment; relinquishment.
abandoned ,a.) Forsaken; deserted.
abandoned ,a.) Self-abandoned; or given up to vice; extremely wicked; or sinning without restraint; irreclaimably wicked ; as; an abandoned villain.
abandoned ,imp. & p. p.) of abandon
abandonedly ,adv.) Unrestrainedly.
abandonee ,n.) One to whom anything is legally abandoned.
abandoner ,n.) One who abandons.
abandoning ,p. pr. & vb. n.) of abandon
abandonment ,n.) careless freedom or ease; abandon.
abandonment ,n.) The act of abandoning; or the state of being abandoned; total desertion; relinquishment.
abandonment ,n.) The relinquishment by the insured to the underwriters of what may remain of the property insured after a loss or damage by a peril insured against.
abandonment ,n.) The relinquishment of a right; claim; or privilege; as to mill site; etc.
abandonment ,n.) The voluntary leaving of a person to whom one is bound by a special relation; as a wife; husband; or child; desertion.
abandum ,n.) anything forfeited or confiscated.
abanet ,n.) See abnet.
abanga ,n.) a West Indian palm; also the fruit of this palm; the seeds of which are used as a remedy for diseases of the chest.
abannation ,n.) alt. of abannition
abannition ,n.) banishment.
abarticulation ,n.) articulation; usually that kind of articulation which admits of free motion in the joint; diarthrosis.
abase ,a.) To cast down or reduce low or lower; as in rank; office; condition in life; or estimation of worthiness; to depress; to humble; to degrade.
abase ,a.) To lower or depress; to throw or cast down; as; to abase the eye.
abased ,a.) borne lower than usual; as a fess; also; having the ends of the wings turned downward towards the point of the shield.
abased ,a.) Lowered; humbled.
abased ,imp. & p. p.) of abase
abasedly ,adv.) abjectly; downcastly.
abasement ,n.) The act of abasing; humbling; or bringing low; the state of being abased or humbled; humiliation.
abaser ,n.) He who; or that which; abases.
abash ,v. t.) To destroy the self-possession of; to confuse or confound; as by exciting suddenly a consciousness of guilt; mistake; or inferiority; to put to shame; to disconcert; to discomfit.
abashed ,imp. & p. p.) of abash
abashedly ,adv.) In an abashed manner.
abashing ,p. pr. & vb. n.) of abash
abashment ,n.) The state of being abashed; confusion from shame.
abasing ,p. pr. & vb. n.) of abase
abassi ,n.) alt. of abassis
abassis ,n.) a silver coin of Persia; worth about twenty cents.
abatable ,a.) capable of being abated; as; an abatable writ or nuisance.
abate ,n.) abatement.
abate ,v. t.) To be defeated; or come to naught; to fall through; to fail; as; a writ abates.
abate ,v. t.) To beat down; to overthrow.
abate ,v. t.) To blunt.
abate ,v. t.) To bring down or reduce from a higher to a lower state; number; or degree; to lessen; to diminish; to contract; to moderate; to cut short; as; to abate a demand; to abate pride; zeal; hope.
abate ,v. t.) To bring entirely down or put an end to; to do away with; as; to abate a nuisance; to abate a writ.
abate ,v. t.) To decrease; or become less in strength or violence; as; pain abates; a storm abates.
abate ,v. t.) To deduct; to omit; as; to abate something from a price.
abate ,v. t.) To diminish; to reduce. Legacies are liable to be abated entirely or in proportion; upon a deficiency of assets.
abate ,v. t.) To reduce in estimation; to deprive.
abated ,imp. & p. p.) of abate
abatement ,n.) a mark of dishonor on an escutcheon.
abatement ,n.) The act of abating; or the state of being abated; a lessening; diminution; or reduction; removal or putting an end to; as; the abatement of a nuisance is the suppression thereof.
abatement ,n.) The amount abated; that which is taken away by way of reduction; deduction; decrease; a rebate or discount allowed.
abatement ,n.) The entry of a stranger; without right; into a freehold after the death of the last possessor; before the heir or devisee.
abater ,n.) One who; or that which; abates.
abating ,p. pr. & vb. n.) of abate
abatis ,n.) alt. of abattis
abatised ,a.) Provided with an abatis.
abator ,n.) a person who; without right; enters into a freehold on the death of the last possessor; before the heir or devisee.
abator ,n.) One who abates a nuisance.
abattis ,n.) a means of defense formed by felled trees; the ends of whose branches are sharpened and directed outwards; or against the enemy.
abattoir ,n.) a public slaughterhouse for cattle; sheep; etc.
abattoirs ,pl. ) of abattoir
abature ,n.) Grass and sprigs beaten or trampled down by a stag passing through them.
abatvoix ,n.) The sounding-board over a pulpit or rostrum.
abawed ,p. p.) astonished; abashed.
abaxial ,a.) alt. of abaxile
abaxile ,a.) away from the axis or central line; eccentric.
abay ,n.) barking; baying of dogs upon their prey. See bay.
abb ,n.) among weavers; yarn for the warp. Hence; abb wool is wool for the abb.
abb wool ,) See abb.
abba ,n.) Father; religious superior; -- in the Syriac; coptic; and ethiopic churches; a title given to the bishops; and by the bishops to the patriarch.
abbacies ,pl. ) of abbacy
abbacy ,n.) The dignity; estate; or jurisdiction of an abbot.
abbatial ,a.) belonging to an abbey; as; abbatial rights.
abbatical ,a.) abbatial.
abbe ,n.) The French word answering to the english abbot; the head of an abbey; but commonly a title of respect given in France to every one vested with the ecclesiastical habit or dress.
abbess ,n.) a female superior or governess of a nunnery; or convent of nuns; having the same authority over the nuns which the abbots have over the monks. See abbey.
abbey ,n.) a monastery or society of persons of either sex; secluded from the world and devoted to religion and celibacy; also; the monastic building or buildings.
abbey ,n.) The church of a monastery.
abbeys ,pl. ) of abbey
abbot ,n.) One of a class of bishops whose sees were formerly abbeys.
abbot ,n.) The superior or head of an abbey.
abbotship ,n.) The state or office of an abbot.
abbreviate ,a.) abbreviated; abridged; shortened.
abbreviate ,a.) Having one part relatively shorter than another or than the ordinary type.
abbreviate ,n.) an abridgment.
abbreviate ,v. t.) To make briefer; to shorten; to abridge; to reduce by contraction or omission; especially of words written or spoken.
abbreviate ,v. t.) To reduce to lower terms; as a fraction.
abbreviated ,a.) Shortened; relatively short; abbreviate.
abbreviated ,imp. & p. p.) of abbreviate
abbreviating ,p. pr. & vb. n.) of abbreviate
abbreviation ,n.) One dash; or more; through the stem of a note; dividing it respectively into quavers; semiquavers; or demi-semiquavers.
abbreviation ,n.) The act of shortening; or reducing.
abbreviation ,n.) The form to which a word or phrase is reduced by contraction and omission; a letter or letters; standing for a word or phrase of which they are a part; as; Gen. for Genesis; U.S.a. for United States of america.
abbreviation ,n.) The result of abbreviating; an abridgment.
abbreviator ,n.) One of a college of seventy-two officers of the papal court whose duty is to make a short minute of a decision on a petition; or reply of the pope to a letter; and afterwards expand the minute into official form.
abbreviator ,n.) One who abbreviates or shortens.
abbreviatory ,a.) Serving or tending to abbreviate; shortening; abridging.
abbreviature ,n.) an abbreviation; an abbreviated state or form.
abbreviature ,n.) an abridgment; a compendium or abstract.
abdal ,n.) a religious devotee or dervish in Persia.
abderian ,a.) Given to laughter; inclined to foolish or incessant merriment.
abderite ,n.) an inhabitant of abdera; in Thrace.
abdest ,n.) Purification by washing the hands before prayer; -- a Mohammedan rite.
abdicable ,a.) capable of being abdicated.
abdicant ,a.) abdicating; renouncing; -- followed by of.
abdicant ,n.) One who abdicates.
abdicate ,v. i.) To relinquish or renounce a throne; or other high office or dignity.
abdicate ,v. t.) To disclaim and expel from the family; as a father his child; to disown; to disinherit.
abdicate ,v. t.) To reject; to cast off.
abdicate ,v. t.) To renounce; to relinquish; -- said of authority; a trust; duty; right; etc.
abdicate ,v. t.) To surrender or relinquish; as sovereign power; to withdraw definitely from filling or exercising; as a high office; station; dignity; as; to abdicate the throne; the crown; the papacy.
abdicated ,imp. & p. p.) of abdicate
abdicating ,p. pr. & vb. n.) of abdicate
abdication ,n.) The act of abdicating; the renunciation of a high office; dignity; or trust; by its holder; commonly the voluntary renunciation of sovereign power; as; abdication of the throne; government; power; authority.
abdicative ,a.) causing; or implying; abdication.
abdicator ,n.) One who abdicates.
abditive ,a.) Having the quality of hiding.
abditory ,n.) a place for hiding or preserving articles of value.
abdomen ,n.) The belly; or that part of the body between the thorax and the pelvis. also; the cavity of the belly; which is lined by the peritoneum; and contains the stomach; bowels; and other viscera. In man; often restricted to the part between the diaphragm and the commencement of the pelvis; the remainder being called the pelvic cavity.
abdomen ,n.) The posterior section of the body; behind the thorax; in insects; crustaceans; and other arthropoda.
abdominal ,a.) Having abdominal fins; belonging to the abdominales; as; abdominal fishes.
abdominal ,a.) Of or pertaining to the abdomen; ventral; as; the abdominal regions; muscles; cavity.
abdominal ,n.) a fish of the group abdominales.
abdominales ,n. pl.) a group including the greater part of fresh-water fishes; and many marine ones; having the ventral fins under the abdomen behind the pectorals.
abdominales ,pl. ) of abdominal
abdominalia ,n. pl.) a group of cirripeds having abdominal appendages.
abdominals ,pl. ) of abdominal
abdominoscopy ,n.) examination of the abdomen to detect abdominal disease.
abdominothoracic ,a.) Relating to the abdomen and the thorax; or chest.
abdominous ,a.) Having a protuberant belly; pot-bellied.
abduce ,v. t.) To draw or conduct away; to withdraw; to draw to a different part.
abduced ,imp. & p. p.) of abduce
abducing ,p. pr. & vb. n.) of abduce
abduct ,v. t.) To draw away; as a limb or other part; from its ordinary position.
abduct ,v. t.) To take away surreptitiously by force; to carry away ,a human being) wrongfully and usually by violence; to kidnap.
abducted ,imp. & p. p.) of abduct
abducting ,p. pr. & vb. n.) of abduct
abduction ,n.) a syllogism or form of argument in which the major is evident; but the minor is only probable.
abduction ,n.) The act of abducing or abducting; a drawing apart; a carrying away.
abduction ,n.) The movement which separates a limb or other part from the axis; or middle line; of the body.
abduction ,n.) The wrongful; and usually the forcible; carrying off of a human being; as; the abduction of a child; the abduction of an heiress.
abductor ,n.) a muscle which serves to draw a part out; or form the median line of the body; as; the abductor oculi; which draws the eye outward.
abductor ,n.) One who abducts.
abeam ,adv.) On the beam; that is; on a line which forms a right angle with the ship's keel; opposite to the center of the ship's side.
abear ,v. t.) To bear; to behave.
abear ,v. t.) To put up with; to endure.
abearance ,n.) behavior.
abearing ,n.) behavior.
abecedarian ,a.) alt. of abecedary
abecedarian ,n.) One engaged in teaching the alphabet.
abecedarian ,n.) One who is learning the alphabet; hence; a tyro.
abecedary ,a.) Pertaining to; or formed by; the letters of the alphabet; alphabetic; hence; rudimentary.
abecedary ,n.) a primer; the first principle or rudiment of anything.
abed ,adv.) In bed; or on the bed.
abed ,adv.) To childbed ,in the phrase "brought abed;" that is; delivered of a child).
abegge ,) Same as aby.
abele ,n.) The white poplar ,Populus alba).
abelian ,n.) alt. of abelonian
abelite ,n.) alt. of abelonian
abelmosk ,n.) an evergreen shrub ,Hibiscus -- formerly abelmoschus -- moschatus); of the east and West Indies and Northern africa; whose musky seeds are used in perfumery and to flavor coffee; -- sometimes called musk mallow.
abelonian ,n.) One of a sect in africa ,4th century); mentioned by St. augustine; who states that they married; but lived in continence; after the manner; as they pretended; of abel.
aber-de-vine ,n.) The european siskin ,carduelis spinus); a small green and yellow finch; related to the goldfinch.
aberr ,v. i.) To wander; to stray.
aberrance ,n.) alt. of aberrancy
aberrancy ,n.) State of being aberrant; a wandering from the right way; deviation from truth; rectitude; etc.
aberrant ,a.) deviating from the ordinary or natural type; exceptional; abnormal.
aberrant ,a.) Wandering; straying from the right way.
aberrate ,v. i.) To go astray; to diverge.
aberration ,n.) a partial alienation of reason.
aberration ,n.) a small periodical change of position in the stars and other heavenly bodies; due to the combined effect of the motion of light and the motion of the observer; called annual aberration; when the observer's motion is that of the earth in its orbit; and daily or diurnal aberration; when of the earth on its axis; amounting when greatest; in the former case; to 20.4''; and in the latter; to 0.3''. Planetary aberration is that due to the motion of light and the motion of the planet relative to the earth.
aberration ,n.) The act of wandering; deviation; especially from truth or moral rectitude; from the natural state; or from a type.
aberration ,n.) The convergence to different foci; by a lens or mirror; of rays of light emanating from one and the same point; or the deviation of such rays from a single focus; called spherical aberration; when due to the spherical form of the lens or mirror; such form giving different foci for central and marginal rays; and chromatic aberration; when due to different refrangibilities of the colored rays of the spectrum; those of each color having a distinct focus.
aberration ,n.) The passage of blood or other fluid into parts not appropriate for it.
aberration ,n.) The producing of an unintended effect by the glancing of an instrument; as when a shot intended for a glances and strikes b.
aberrational ,a.) characterized by aberration.
aberuncate ,v. t.) To weed out.
aberuncator ,n.) a weeding machine.
abet ,n.) act of abetting; aid.
abet ,v. t.) To contribute; as an assistant or instigator; to the commission of an offense.
abet ,v. t.) To instigate or encourage by aid or countenance; -- used in a bad sense of persons and acts; as; to abet an ill-doer; to abet one in his wicked courses; to abet vice; to abet an insurrection.
abet ,v. t.) To support; uphold; or aid; to maintain; -- in a good sense.
abetment ,n.) The act of abetting; as; an abetment of treason; crime; etc.
abettal ,n.) abetment.
abetted ,imp. & p. p.) of abet
abetter ,n.) alt. of abettor
abetting ,p. pr. & vb. n.) of abet
abettor ,n.) One who abets; an instigator of an offense or an offender.
abevacuation ,n.) a partial evacuation.
abeyance ,n.) expectancy; condition of being undetermined.
abeyance ,n.) Suspension; temporary suppression.
abeyancy ,n.) abeyance.
abeyant ,a.) being in a state of abeyance.
abhal ,n.) The berries of a species of cypress in the east Indies.
abhominable ,a.) abominable.
abhominal ,a.) Inhuman.
abhor ,v. i.) To shrink back with horror; disgust; or dislike; to be contrary or averse; -- with
abhor ,v. t.) To fill with horror or disgust.
abhor ,v. t.) To protest against; to reject solemnly.
abhor ,v. t.) To shrink back with shuddering from; to regard with horror or detestation; to feel excessive repugnance toward; to detest to extremity; to loathe.
abhorred ,imp. & p. p.) of abhor
abhorrence ,n.) extreme hatred or detestation; the feeling of utter dislike.
abhorrency ,n.) abhorrence.
abhorrent ,a.) abhorring; detesting; having or showing abhorrence; loathing; hence; strongly opposed to; as; abhorrent thoughts.
abhorrent ,a.) contrary or repugnant; discordant; inconsistent; -- followed by to.
abhorrent ,a.) detestable.
abhorrently ,adv.) With abhorrence.
abhorrer ,n.) One who abhors.
abhorrible ,a.) detestable.
abhorring ,n.) detestation.
abhorring ,n.) Object of abhorrence.
abhorring ,p. pr. & vb. n.) of abhor
abib ,n.) The first month of the Jewish ecclesiastical year; corresponding nearly to our april. after the babylonish captivity this month was called Nisan.
abid ,) of abide
abidance ,n.) The state of abiding; abode; continuance; compliance ,with).
abide ,v. i.) To remain stable or fixed in some state or condition; to continue; to remain.
abide ,v. i.) To stay; to continue in a place; to have one's abode; to dwell; to sojourn; -- with with before a person; and commonly with at or in before a place.
abide ,v. i.) To wait; to pause; to delay.
abide ,v. t.) To bear patiently; to tolerate; to put up with.
abide ,v. t.) To endure; to sustain; to submit to.
abide ,v. t.) To stand the consequences of; to answer for; to suffer for.
abide ,v. t.) To wait for; to be prepared for; to await; to watch for; as; I abide my time.
abider ,n.) One who abides; or continues.
abider ,n.) One who dwells; a resident.
abiding ,a.) continuing; lasting.
abiding ,p. pr. & vb. n.) of abide
abidingly ,adv.) Permanently.
abies ,n.) a genus of coniferous trees; properly called Fir; as the balsam fir and the silver fir. The spruces are sometimes also referred to this genus.
abietene ,n.) a volatile oil distilled from the resin or balsam of the nut pine ,Pinus sabiniana) of california.
abietic ,a.) Of or pertaining to the fir tree or its products; as; abietic acid; called also sylvic acid.
abietin ,n.) alt. of abietine
abietine ,n.) a resinous obtained from Strasburg turpentine or canada balsam. It is without taste or smell; is insoluble in water; but soluble in alcohol ,especially at the boiling point); in strong acetic acid; and in ether.
abietinic ,a.) Of or pertaining to abietin; as; abietinic acid.
abietite ,n.) a substance resembling mannite; found in the needles of the common silver fir of europe ,abies pectinata).
abigail ,n.) a lady's waiting-maid.
abode ,imp. & p. p.) of abide
babble ,n.) Idle talk; senseless prattle; gabble; twaddle.
babble ,n.) Inarticulate speech; constant or confused murmur.
babble ,v. i.) To disclose by too free talk; as a secret.
babble ,v. i.) To make a continuous murmuring noise; as shallow water running over stones.
babble ,v. i.) To talk incoherently; to utter unmeaning words.
babble ,v. i.) To talk much; to chatter; to prate.
babble ,v. i.) To utter in an indistinct or incoherent way; to repeat; as words; in a childish way without understanding.
babble ,v. i.) To utter words indistinctly or unintelligibly; to utter inarticulate sounds; as a child babbles.
babbled ,imp. & p. p.) of babble
babblement ,n.) babble.
babbler ,n.) a hound too noisy on finding a good scent.
babbler ,n.) a name given to any one of family ,Timalinae) of thrushlike birds; having a chattering note.
babbler ,n.) an idle talker; an irrational prater; a teller of secrets.
babblery ,n.) babble.
babbling ,p. pr. & vb. n.) of babble
babe ,n.) a doll for children.
babe ,n.) an infant; a young child of either sex; a baby.
babehood ,n.) babyhood.
babel ,n.) Hence: a place or scene of noise and confusion; a confused mixture of sounds; as of voices or languages.
babel ,n.) The city and tower in the land of Shinar; where the confusion of languages took place.
babery ,n.) Finery of a kind to please a child.
cabalistic ,a.) alt. of cabalistical
cabalistical ,a.) Of or pertaining to the cabala; containing or conveying an occult meaning; mystic.
cabalistically ,adv.) In a cabalistic manner.
cabalize ,v. i.) To use cabalistic language.
caballer ,n.) One who cabals.
caballine ,a.) Of or pertaining to a horse.
caballine ,n.) caballine aloes.
cabaret ,n.) a tavern; a house where liquors are retailed.
cabaret ,n.) a type of restaurant where liquor and dinner is served; and entertainment is provided; as by musicians; dancers; or comedians; and providing space for dancing by the patrons; -- similar to a nightclub. The term cabaret is often used in the names of such an establishment.
cabaret ,n.) the type of entertainment provided in a cabaret{2}.
cabas ,n.) a flat basket or frail for figs; etc.; hence; a lady's flat workbasket; reticule; or hand bag; -- often written caba.
cabassou ,n.) a species of armadillo of the genus Xenurus ,X. unicinctus and X. hispidus); the tatouay.
cabbage ,n.) an esculent vegetable of many varieties; derived from the wild brassica oleracea of europe. The common cabbage has a compact head of leaves. The cauliflower; brussels sprouts; etc.; are sometimes classed as cabbages.
cabbage ,n.) cloth or clippings cabbaged or purloined by one who cuts out garments.
cabbage ,n.) The cabbage palmetto. See below.
cabbage ,n.) The terminal bud of certain palm trees; used; like; cabbage; for food. See cabbage tree; below.
cabbage ,v. i.) To form a head like that the cabbage; as; to make lettuce cabbage.
cabbage ,v. i.) To purloin or embezzle; as the pieces of cloth remaining after cutting out a garment; to pilfer.
cabbaged ,imp. & p. p) of cabbage
cabbaging ,p. pr. & vb. n.) of cabbage
cabbiri ,n. pl.) certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece; -- also called sons of Hephaestus ,or Vulcan); as being masters of the art of working metals.
cabbler ,n.) One who works at cabbling.
cabbling ,n.) The process of breaking up the flat masses into which wrought iron is first hammered; in order that the pieces may be reheated and wrought into bar iron.
cabeca ,n.) alt. of cabesse
caber ,n.) a pole or beam used in Scottish games for tossing as a trial of strength.
cabesse ,n.) The finest kind of silk received from India.
cabezon ,n.) a california fish ,Hemilepidotus spinosus); allied to the sculpin.
cabiai ,n.) The capybara. See capybara.
cabin ,n.) a cottage or small house; a hut.
cabin ,n.) a room in ship for officers or passengers.
cabin ,n.) a small room; an inclosed place.
cabin ,v. i.) To live in; or as in; a cabin; to lodge.
cabin ,v. t.) To confine in; or as in; a cabin.
cabined ,imp. & p. p.) of cabin
cabinet ,a.) Suitable for a cabinet; small.
cabinet ,n.) a decorative piece of furniture; whether open like an etagere or closed with doors. See etagere.
cabinet ,n.) a hut; a cottage; a small house.
cabinet ,n.) a private room in which consultations are held.
cabinet ,n.) a set of drawers or a cupboard intended to contain articles of value. Hence:
cabinet ,n.) a small room; or retired apartment; a closet.
cabinet ,n.) any building or room set apart for the safe keeping and exhibition of works of art; etc.; also; the collection itself.
cabinet ,n.) The advisory council of the chief executive officer of a nation; a cabinet council.
cabinet ,v. i.) To inclose
cabineting ,p. pr. & vb. n.) of cabinet
cabinetmaker ,n.) One whose occupation is to make cabinets or other choice articles of household furniture; as tables; bedsteads; bureaus; etc.
cabinetmaking ,n.) The art or occupation of making the finer articles of household furniture.
cabinetwork ,n.) The art or occupation of working upon wooden furniture requiring nice workmanship; also; such furniture.
cabining ,p. pr. & vb. n.) of cabin
cabirean ,n.) One of the cabiri.
cabirian ,a.) Same as cabiric.
cabiric ,a.) Of or pertaining to the cabiri; or to their mystical worship.
cable ,n.) a large; strong rope or chain; of considerable length; used to retain a vessel at anchor; and for other purposes. It is made of hemp; of steel wire; or of iron links.
cable ,n.) a molding; shaft of a column; or any other member of convex; rounded section; made to resemble the spiral twist of a rope; -- called also cable molding.
cable ,n.) a rope of steel wire; or copper wire; usually covered with some protecting or insulating substance; as; the cable of a suspension bridge; a telegraphic cable.
cable ,v. t. & i.) To telegraph by a submarine cable
cable ,v. t.) To fasten with a cable.
cable ,v. t.) To ornament with cabling. See cabling.
cabled ,a.) adorned with cabling.
cabled ,a.) Fastened with; or attached to; a cable or rope.
cabled ,imp. & p. p.) of cable
cablegram ,n.) a message sent by a submarine telegraphic cable.
cablelaid ,a.) composed of three three-stranded ropes; or hawsers; twisted together to form a cable.
