a b c ,) a primer for teaching the alphabet and first elements of reading.
cablelaid ,a.) Twisted after the manner of a cable; as; a cable-laid gold chain.
cablet ,n.) a little cable less than ten inches in circumference.
cabling ,n.) The decoration of a fluted shaft of a column or of a pilaster with reeds; or rounded moldings; which seem to be laid in the hollows of the fluting. These are limited in length to about one third of the height of the shaft.
cabling ,p. pr. & vb. n.) of cable
cabman ,n.) The driver of a cab.
cabmen ,pl. ) of cabman
cabob ,n.) a leg of mutton roasted; stuffed with white herrings and sweet herbs.
cabob ,n.) a small piece of mutton or other meat roasted on a skewer; -- so called in Turkey and Persia.
cabob ,v. t.) To roast; as a cabob.
caboched ,a.) Showing the full face; but nothing of the neck; -- said of the head of a beast in armorial bearing.
caboodle ,n.) The whole collection; the entire quantity or number; -- usually in the phrase the whole caboodle.
caboose ,n.) a house on deck; where the cooking is done; -- commonly called the galley.
dabbled ,imp. & p. p.) of dabble
dabble ,v. t.) To wet by little dips or strokes; to spatter; to sprinkle; to moisten; to wet.
dabble ,v. i.) To play in water; as with the hands; to paddle or splash in mud or water.
dabble ,v. i.) To work in slight or superficial manner; to do in a small way; to tamper; to meddle.
dabbler ,n.) One who dabbles.
dabbler ,n.) One who dips slightly into anything; a superficial meddler.
dabblingly ,adv.) In a dabbling manner.
dabchick ,n.) A small water bird ,Podilymbus podiceps); allied to the grebes; remarkable for its quickness in diving; -- called also dapchick; dobchick; dipchick; didapper; dobber; devil-diver; hell-diver; and pied-billed grebe.
daboia ,n.) A large and highly venomous Asiatic viper ,daboia xanthica).
dabster ,n.) One who is skilled; a master of his business; a proficient; an adept.
dacapo ,) From the beginning; a direction to return to; and end with; the first strain; -- indicated by the letters d. C. Also; the strain so repeated.
dace ,n.) A small european cyprinoid fish ,Squalius leuciscus or Leuciscus vulgaris); -- called also dare.
dachshund ,n.) One of a breed of small dogs with short crooked legs; and long body; -- called also badger dog. There are two kinds; the rough-haired and the smooth-haired.
dacian ,a.) Of or pertaining to dacia or the dacians.
dacian ,n.) A native of ancient dacia.
dacoit ,n.) One of a class of robbers; in India; who act in gangs.
dacoity ,n.) The practice of gang robbery in India; robbery committed by dacoits.
dacotahs ,n. pl.) Same as dacotas.
dactyl ,n.) A poetical foot of three sylables ,-- ~ ~); one long followed by two short; or one accented followed by two unaccented; as; L. tegm/n/; e. mer\b6ciful; -- so called from the similarity of its arrangement to that of the joints of a finger.
dactyl ,n.) A finger or toe; a digit.
dactyl ,n.) The claw or terminal joint of a leg of an insect or crustacean.
dactylar ,a.) Pertaining to dactyl; dactylic.
dactylar ,a.) Of or pertaining to a finger or toe; or to the claw of an insect crustacean.
dactylet ,n.) A dactyl.
dactylic ,a.) Pertaining to; consisting chiefly or wholly of; dactyls; as; dactylic verses.
dactylic ,n.) A line consisting chiefly or wholly of dactyls; as; these lines are dactylics.
dactylic ,n.) dactylic meters.
dactylioglyph ,n.) An engraver of gems for rings and other ornaments.
dactylioglyph ,n.) The inscription of the engraver's name on a finger ring or gem.
dactylioglyphi ,n.) The art or process of gem engraving.
dactyliography ,n.) The art of writing or engraving upon gems.
dactyliography ,n.) In general; the literature or history of the art.
dactyliology ,n.) That branch of archaeology which has to do with gem engraving.
dactyliology ,n.) That branch of archaeology which has to do with finger rings.
dactyliomancy ,n.) divination by means of finger rings.
dactylist ,n.) A writer of dactylic verse.
dactylitis ,n.) An inflammatory affection of the fingers.
dactylology ,n.) The art of communicating ideas by certain movements and positions of the fingers; -- a method of conversing practiced by the deaf and dumb.
dactylomancy ,n.) dactyliomancy.
dactylonomy ,n.) The art of numbering or counting by the fingers.
dactylopterous ,a.) Having the inferior rays of the pectoral fins partially or entirely free; as in the gurnards.
dactylotheca ,n.) The scaly covering of the toes; as in birds.
dactylozooid ,n.) A kind of zooid of Siphonophora which has an elongated or even vermiform body; with one tentacle; but no mouth. See Siphonophora.
dad ,n.) Father; -- a word sometimes used by children.
daddled ,imp. & p. p.) of dadle
daddling ,p. pr. & vb. n.) of dadle
dadle ,v. i.) To toddle; to walk unsteadily; like a child or an old man; hence; to do anything slowly or feebly.
daddock ,n.) The rotten body of a tree.
daddy ,n.) diminutive of dad.
daddy longlegs ,) An arachnidan of the genus Phalangium; and allied genera; having a small body and four pairs of long legs; -- called also harvestman; carter; and grandfather longlegs.
daddy longlegs ,) A name applied to many species of dipterous insects of the genus Tipula; and allied genera; with slender bodies; and very long; slender legs; the crane fly; -- called also father longlegs.
dade ,v. t.) To hold up by leading strings or by the hand; as a child while he toddles.
dade ,v. i.) To walk unsteadily; as a child in leading strings; or just learning to walk; to move slowly.
dadoes ,pl. ) of dado
dado ,n.) That part of a pedestal included between the base and the cornice ,or surbase); the die. See Illust. of Column.
dado ,n.) In any wall; that part of the basement included between the base and the base course. See Base course; under Base.
dado ,n.) In interior decoration; the lower part of the wall of an apartment when adorned with moldings; or otherwise specially decorated.
daedal ,a.) Alt. of daedalian
daedalian ,a.) Cunningly or ingeniously formed or working; skillful; artistic; ingenious.
daedalian ,a.) Crafty; deceitful.
daedalous ,a.) Having a variously cut or incised margin; -- said of leaves.
daemon ,a.) Alt. of daemonic
daemonic ,a.) See demon; demonic.
daff ,v. t.) To cast aside; to put off; to doff.
daff ,n.) A stupid; blockish fellow; a numskull.
daff ,v. i.) To act foolishly; to be foolish or sportive; to toy.
daff ,v. t.) To daunt.
daffodil ,n.) A plant of the genus Asphodelus.
eagle-eyed ,a.) Sharp-sighted as an eagle.
eagle-sighted ,a.) Farsighted and strong-sighted; sharp-sighted.
eagless ,n.) A female or hen eagle.
eaglestone ,n.) A concretionary nodule of clay ironstone; of the size of a walnut or larger; so called by the ancients; who believed that the eagle transported these stones to her nest to facilitate the laying of her eggs; aetites.
eaglet ,n.) A young eagle; or a diminutive eagle.
eagle-winged ,a.) Having the wings of an eagle; swift; or soaring high; like an eagle.
eaglewood ,n.) A kind of fragrant wood. See Agallochum.
eagrass ,n.) See eddish.
eagre ,n.) A wave; or two or three successive waves; of great height and violence; at flood tide moving up an estuary or river; -- commonly called the bore. See Bore.
ealderman ,n.) Alt. of ealdorman
ealdorman ,n.) An alderman.
eale ,n.) Ale.
eame ,n.) Uncle.
ean ,v. t. & i.) To bring forth; as young; to yean.
eanling ,n.) A lamb just brought forth; a yeanling.
ear ,n.) The organ of hearing; the external ear.
ear ,n.) The sense of hearing; the perception of sounds; the power of discriminating between different tones; as; a nice ear for music; -- in the singular only.
ear ,n.) That which resembles in shape or position the ear of an animal; any prominence or projection on an object; -- usually one for support or attachment; a lug; a handle; as; the ears of a tub; a skillet; or dish. The ears of a boat are outside kneepieces near the bow. See Illust. of Bell.
ear ,n.) Same as Acroterium.
ear ,n.) Same as Crossette.
ear ,n.) Privilege of being kindly heard; favor; attention.
eared ,imp. & p. p.) of ear
earing ,p. pr. & vb. n.) of ear
ear ,v. t.) To take in with the ears; to hear.
ear ,n.) The spike or head of any cereal ,as; wheat; rye; barley; Indian corn; etc.); containing the kernels.
ear ,v. i.) To put forth ears in growing; to form ears; as grain; as; this corn ears well.
ear ,v. t.) To plow or till; to cultivate.
earable ,a.) Arable; tillable.
earache ,n.) Ache or pain in the ear.
earal ,a.) Receiving by the ear.
ear-bored ,a.) Having the ear perforated.
earcap ,n.) A cap or cover to protect the ear from cold.
earcockle ,n.) A disease in wheat; in which the blackened and contracted grain; or ear; is filled with minute worms.
eardrop ,n.) A pendant for the ear; an earring; as; a pair of eardrops.
eardrop ,n.) A species of primrose. See Auricula.
eardrum ,n.) The tympanum. See Illust. of ear.
eared ,a.) Having ,such or so many) ears; -- used in composition; as; long-eared-eared; sharp-eared; full-eared; ten-eared.
eared ,a.) Having external ears; having tufts of feathers resembling ears.
eariness ,n.) Fear or timidity; especially of something supernatural.
earing ,n.) A line used to fasten the upper corners of a sail to the yard or gaff; -- also called head earing.
earing ,n.) A line for hauling the reef cringle to the yard; -- also called reef earing.
earing ,n.) A line fastening the corners of an awning to the rigging or stanchions.
earing ,n.) Coming into ear; as corn.
earing ,n.) A plowing of land.
earl ,n.) A nobleman of england ranking below a marquis; and above a viscount. The rank of an earl corresponds to that of a count ,comte) in France; and graf in Germany. Hence the wife of an earl is still called countess. See Count.
earl ,n.) The needlefish.
earlap ,n.) The lobe of the ear.
earldom ,n.) The jurisdiction of an earl; the territorial possessions of an earl.
earldom ,n.) The status; title; or dignity of an earl.
earldorman ,n.) Alderman.
earlduck ,n.) The red-breasted merganser ,Merganser serrator).
earles penny ,) earnest money. Same as Arles penny.
earless ,a.) Without ears; hence; deaf or unwilling to hear.
earlet ,n.) An earring.
earliness ,n.) The state of being early or forward; promptness.
earl marshal ,) An officer of state in england who marshals and orders all great ceremonials; takes cognizance of matters relating to honor; arms; and pedigree; and directs the proclamation of peace and war. The court of chivalry was formerly under his jurisdiction; and he is still the head of the herald's office or college of arms.
earlock ,n.) A lock or curl of hair near the ear; a lovelock. See Lovelock.
early ,adv.) Soon; in good season; seasonably; betimes; as; come early.
early ,adv.) In advance of the usual or appointed time; in good season; prior in time; among or near the first; -- opposed to late; as; the early bird; an early spring; early fruit.
early ,adv.) Coming in the first part of a period of time; or among the first of successive acts; events; etc.
earmark ,n.) A mark on the ear of sheep; oxen; dogs; etc.; as by cropping or slitting.
earmark ,n.) A mark for identification; a distinguishing mark.
earmarked ,imp. & p. p.) of earmark
earmarking ,p. pr. & vb. n.) of earmark
earmark ,v. t.) To mark; as sheep; by cropping or slitting the ear.
earn ,n.) See ern; n.
earned ,imp. & p. p.) of earn
earning ,p. pr. & vb. n.) of earn
earn ,v. t.) To merit or deserve; as by labor or service; to do that which entitles one to ,a reward; whether the reward is received or not).
earn ,v. t.) To acquire by labor; service; or performance; to deserve and receive as compensation or wages; as; to earn a good living; to earn honors or laurels.
earn ,v. t. & i.) To grieve.
earn ,v. i.) To long; to yearn.
earn ,v. i.) To curdle; as milk.
earnest ,n.) Seriousness; reality; fixed determination; eagerness; intentness.
earnest ,a.) Ardent in the pursuit of an object; eager to obtain or do; zealous with sincerity; with hearty endeavor; heartfelt; fervent; hearty; -- used in a good sense; as; earnest prayers.
earnest ,a.) Intent; fixed closely; as; earnest attention.
earnest ,a.) Serious; important.
earnest ,v. t.) To use in earnest.
earnest ,n.) Something given; or a part paid beforehand; as a pledge; pledge; handsel; a token of what is to come.
earnest ,n.) Something of value given by the buyer to the seller; by way of token or pledge; to bind the bargain and prove the sale.
earnestful ,a.) Serious.
earnestly ,adv.) In an earnest manner.
earnestness ,n.) The state or quality of being earnest; intentness; anxiety.
earnful ,a.) Full of anxiety or yearning.
earnings ,pl. ) of earning
earning ,n.) That which is earned; wages gained by work or services; money earned; -- used commonly in the plural.
earpick ,n.) An instrument for removing wax from the ear.
ear-piercer ,n.) The earwig.
earreach ,n.) earshot.
earring ,n.) An ornament consisting of a ring passed through the lobe of the ear; with or without a pendant.
earsh ,n.) See Arrish.
ear-shell ,n.) A flattened marine univalve shell of the genus Haliotis; -- called also sea-ear. See Abalone.
earshot ,n.) Reach of the ear; distance at which words may be heard.
earshrift ,n.) A nickname for auricular confession; shrift.
earsore ,n.) An annoyance to the ear.
ear-splitting ,a.) deafening; disagreeably loud or shrill; as; ear-splitting strains.
earst ,adv.) See erst.
earth ,n.) The globe or planet which we inhabit; the world; in distinction from the sun; moon; or stars. Also; this world as the dwelling place of mortals; in distinction from the dwelling place of spirits.
earth ,n.) The solid materials which make up the globe; in distinction from the air or water; the dry land.
earth ,n.) The softer inorganic matter composing part of the surface of the globe; in distinction from the firm rock; soil of all kinds; including gravel; clay; loam; and the like; sometimes; soil favorable to the growth of plants; the visible surface of the globe; the ground; as; loose earth; rich earth.
earth ,n.) A part of this globe; a region; a country; land.
earth ,n.) Worldly things; as opposed to spiritual things; the pursuits; interests; and allurements of this life.
earth ,n.) The people on the globe.
earth ,n.) Any earthy-looking metallic oxide; as alumina; glucina; zirconia; yttria; and thoria.
earth ,n.) A similar oxide; having a slight alkaline reaction; as lime; magnesia; strontia; baryta.
earth ,n.) A hole in the ground; where an animal hides himself; as; the earth of a fox.
earthed ,imp. & p. p.) of earth
earthing ,p. pr. & vb. n.) of earth
earth ,v. t.) To hide; or cause to hide; in the earth; to chase into a burrow or den.
earth ,v. t.) To cover with earth or mold; to inter; to bury; -- sometimes with up.
earth ,v. i.) To burrow.
earth ,n.) A plowing.
earthbag ,n.) A bag filled with earth; used commonly to raise or repair a parapet.
earthbank ,n.) A bank or mound of earth.
earthboard ,n.) The part of a plow; or other implement; that turns over the earth; the moldboard.
earthborn ,a.) Born of the earth; terrigenous; springing originally from the earth; human.
earthborn ,a.) Relating to; or occasioned by; earthly objects.
earthbred ,a.) Low; grovelling; vulgar.
earthdin ,n.) An earthquake.
earthdrake ,n.) A mythical monster of the early Anglo-Saxon literature; a dragon.
earthen ,a.) Made of earth; made of burnt or baked clay; or other like substances; as; an earthen vessel or pipe.
earthen-hearted ,a.) Hard-hearted; sordid; gross.
earthenware ,n.) Vessels and other utensils; ornaments; or the like; made of baked clay. See Crockery; Pottery; Stoneware; and Porcelain.
earth flax ,) A variety of asbestus. See Amianthus.
earthfork ,n.) A pronged fork for turning up the earth.
earthiness ,n.) The quality or state of being earthy; or of containing earth; hence; grossness.
earthliness ,n.) The quality or state of being earthly; worldliness; grossness; perishableness.
earthling ,n.) An inhabitant of the earth; a mortal.
earthly ,a.) Pertaining to the earth; belonging to this world; or to man's existence on the earth; not heavenly or spiritual; carnal; worldly; as; earthly joys; earthly flowers; earthly praise.
earthly ,a.) Of all things on earth; possible; conceivable.
earthly ,a.) Made of earth; earthy.
earthly ,adv.) In the manner of the earth or its people; worldly.
earthly-minded ,a.) Having a mind devoted to earthly things; worldly-minded; -- opposed to spiritual-minded.
earthmad ,n.) The earthworm.
earthnut ,n.) A name given to various roots; tubers; or pods grown under or on the ground
earthnut ,n.) The esculent tubers of the umbelliferous plants Bunium flexuosum and Carum Bulbocastanum.
earthnut ,n.) The peanut. See Peanut.
earthpea ,n.) A species of pea ,Amphicarpaea monoica). It is a climbing leguminous plant; with hairy underground pods.
earthquake ,n.) A shaking; trembling; or concussion of the earth; due to subterranean causes; often accompanied by a rumbling noise. The wave of shock sometimes traverses half a hemisphere; destroying cities and many thousand lives; -- called also earthdin; earthquave; and earthshock.
earthquake ,a.) Like; or characteristic of; an earthquake; loud; starling.
earthquave ,n.) An earthquake.
earth shine ,) See earth light; under earth.
earthshock ,n.) An earthquake.
earthstar ,n.) A curious fungus of the genus Geaster; in which the outer coating splits into the shape of a star; and the inner one forms a ball containing the dustlike spores.
earth-tongue ,n.) A fungus of the genus Geoglossum.
earthward ,adv.) Alt. of earthwards
earthwards ,adv.) Toward the earth; -- opposed to heavenward or skyward.
earthwork ,n.) Any construction; whether a temporary breastwork or permanent fortification; for attack or defense; the material of which is chiefly earth.
earthwork ,n.) The operation connected with excavations and embankments of earth in preparing foundations of buildings; in constructing canals; railroads; etc.
earthwork ,n.) An embankment or construction made of earth.
earthworm ,n.) Any worm of the genus Lumbricus and allied genera; found in damp soil. One of the largest and most abundant species in europe and America is L. terrestris; many others are known; -- called also angleworm and dewworm.
earthworm ,n.) A mean; sordid person; a niggard.
earthy ,a.) Consisting of; or resembling; earth; terrene; earthlike; as; earthy matter.
earthy ,a.) Of or pertaining to the earth or to; this world; earthly; terrestrial; carnal.
earthy ,a.) Gross; low; unrefined.
earthy ,a.) Without luster; or dull and roughish to the touch; as; an earthy fracture.
earwax ,n.) See Cerumen.
earwig ,n.) Any insect of the genus Forticula and related genera; belonging to the order euplexoptera.
earwig ,n.) In America; any small chilopodous myriapod; esp. of the genus Geophilus.
earwig ,n.) A whisperer of insinuations; a secret counselor.
earwigged ,imp. & p. p.) of earwig
earwigging ,p. pr. & vb. n.) of earwig
earwig ,v. t.) To influence; or attempt to influence; by whispered insinuations or private talk.
earwitness ,n.) A witness by means of his ears; one who is within hearing and does hear; a hearer.
ease ,n.) Satisfaction; pleasure; hence; accommodation; entertainment.
ease ,n.) Freedom from anything that pains or troubles; as: ,a) Relief from labor or effort; rest; quiet; relaxation; as; ease of body.
ease ,n.) Freedom from care; solicitude; or anything that annoys or disquiets; tranquillity; peace; comfort; security; as; ease of mind.
ease ,n.) Freedom from constraint; formality; difficulty; embarrassment; etc.; facility; liberty; naturalness; -- said of manner; style; etc.; as; ease of style; of behavior; of address.
eased ,imp. & p. p.) of ease
easing ,p. pr. & vb. n.) of ease
ease ,n.) To free from anything that pains; disquiets; or oppresses; to relieve from toil or care; to give rest; repose; or tranquility to; -- often with of; as; to ease of pain; ease the body or mind.
ease ,n.) To render less painful or oppressive; to mitigate; to alleviate.
ease ,n.) To release from pressure or restraint; to move gently; to lift slightly; to shift a little; as; to ease a bar or nut in machinery.
ease ,n.) To entertain; to furnish with accommodations.
easeful ,a.) Full of ease; suitable for affording ease or rest; quiet; comfortable; restful.
easel ,n.) A frame ,commonly) of wood serving to hold a canvas upright; or nearly upright; for the painter's convenience or for exhibition.
easeless ,a.) Without ease.
easement ,n.) That which gives ease; relief; or assistance; convenience; accommodation.
easement ,n.) A liberty; privilege; or advantage; which one proprietor has in the estate of another proprietor; distinct from the ownership of the soil; as a way; water course; etc. It is a species of what the civil law calls servitude.
easement ,n.) A curved member instead of an abrupt change of direction; as in a baseboard; hand rail; etc.
easily ,adv.) With ease; without difficulty or much effort; as; this task may be easily performed; that event might have been easily foreseen.
easily ,adv.) Without pain; anxiety; or disturbance; as; to pass life well and easily.
easily ,adv.) Readily; without reluctance; willingly.
easily ,adv.) Smoothly; quietly; gently; gracefully; without /umult or discord.
easily ,adv.) Without shaking or jolting; commodiously; as; a carriage moves easily.
easiness ,n.) The state or condition of being easy; freedom from distress; rest.
easiness ,n.) Freedom from difficulty; ease; as the easiness of a task.
easiness ,n.) Freedom from emotion; compliance; disposition to yield without opposition; unconcernedness.
easiness ,n.) Freedom from effort; constraint; or formality; -- said of style; manner; etc.
easiness ,n.) Freedom from jolting; jerking; or straining.
east ,n.) The point in the heavens where the sun is seen to rise at the equinox; or the corresponding point on the earth; that one of the four cardinal points of the compass which is in a direction at right angles to that of north and south; and which is toward the right hand of one who faces the north; the point directly opposite to the west.
east ,n.) The eastern parts of the earth; the regions or countries which lie east of europe; the orient. In this indefinite sense; the word is applied to Asia Minor; Syria; Chaldea; Persia; India; China; etc.; as; the riches of the east; the diamonds and pearls of the east; the kings of the east.
east ,n.) Formerly; the part of the United States east of the Alleghany Mountains; esp. the eastern; or New england; States; now; commonly; the whole region east of the Mississippi River; esp. that which is north of Maryland and the Ohio River; -- usually with the definite article; as; the commerce of the east is not independent of the agriculture of the West.
east ,a.) Toward the rising sun; or toward the point where the sun rises when in the equinoctial; as; the east gate; the east border; the east side; the east wind is a wind that blows from the east.
east ,adv.) eastward.
east ,v. i.) To move toward the east; to veer from the north or south toward the east; to orientate.
easter ,n.) An annual church festival commemorating Christ's resurrection; and occurring on Sunday; the second day after Good Friday. It corresponds to the pasha or passover of the Jews; and most nations still give it this name under the various forms of pascha; pasque; paque; or pask.
easter ,n.) The day on which the festival is observed; easter day.
easter ,v. i.) To veer to the east; -- said of the wind.
easterling ,n.) A piece of money coined in the east by Richard II. of england.
easterling ,n.) The smew.
easterling ,a.) Relating to the money of the easterlings; or Baltic traders. See Sterling.
easterly ,a.) Coming from the east; as; it was easterly wind.
easterly ,a.) Situated; directed; or moving toward the east; as; the easterly side of a lake; an easterly course or voyage.
easterly ,adv.) Toward; or in the direction of; the east.
eastern ,a.) Situated or dwelling in the east; oriental; as; an eastern gate; eastern countries.
eastern ,a.) Going toward the east; or in the direction of east; as; an eastern voyage.
easternmost ,a.) Most eastern.
east Indian ,) Belonging to; or relating to; the east Indies.
east Indian ,n.) A native of; or a dweller in; the east Indies.
easting ,n.) The distance measured toward the east between two meridians drawn through the extremities of a course; distance of departure eastward made by a vessel.
east-insular ,a.) Relating to the eastern Islands; east Indian.
eastward ,adv.) Alt. of eastwards
eastwards ,adv.) Toward the east; in the direction of east from some point or place; as; New Haven lies eastward from New York.
easy ,v. t.) At ease; free from pain; trouble; or constraint
easy ,v. t.) Free from pain; distress; toil; exertion; and the like; quiet; as; the patient is easy.
easy ,v. t.) Free from care; responsibility; discontent; and the like; not anxious; tranquil; as; an easy mind.
easy ,v. t.) Free from constraint; harshness; or formality; unconstrained; smooth; as; easy manners; an easy style.
easy ,v. t.) Not causing; or attended with; pain or disquiet; or much exertion; affording ease or rest; as; an easy carriage; a ship having an easy motion; easy movements; as in dancing.
easy ,v. t.) Not difficult; requiring little labor or effort; slight; inconsiderable; as; an easy task; an easy victory.
easy ,v. t.) Causing ease; giving freedom from care or labor; furnishing comfort; commodious; as; easy circumstances; an easy chair or cushion.
easy ,v. t.) Not making resistance or showing unwillingness; tractable; yielding; complying; ready.
please,make someone happyforward,ahead
forward,ahead
drift,move
lady,woman
yoja,a woman
